model_name,params,mean_rank_ic,std_rank_ic,pct_positive_folds,significant,p_value,precision_at_3
ridge,"{""alpha"": 0.1}",0.05599948116802048,0.2866219247389105,0.5955056179775281,True,0.034333998606044525,0.26445514535402176
ridge,"{""alpha"": 1}",0.05588922937237543,0.28638812317431583,0.5955056179775281,True,0.03449111676960313,0.26409844836811125
ridge,"{""alpha"": 10}",0.056827018175332776,0.2872784225858867,0.5955056179775281,True,0.03267557052234388,0.26445514535402176
random_forest,"{""max_depth"": 4, ""n_estimators"": 100}",0.05056887346410037,0.3154873370448073,0.5842696629213483,False,0.06703871311734323,0.28036383092562867
random_forest,"{""max_depth"": 6, ""n_estimators"": 200}",0.05764861270194388,0.2866842778657095,0.5955056179775281,True,0.030550198990326995,0.2959158195113251
random_forest,"{""max_depth"": 8, ""n_estimators"": 300}",0.08875464111419168,0.2653986239037137,0.6404494382022472,True,0.0010987643196816463,0.31892277510255035
gradient_boost,"{""learning_rate"": 0.1, ""max_depth"": 3, ""max_iter"": 100}",0.07732484466733551,0.25231470076702417,0.6404494382022472,True,0.002417192636310578,0.3060103442125914
gradient_boost,"{""learning_rate"": 0.05, ""max_depth"": 4, ""max_iter"": 200}",0.10424826110219365,0.24935215976728778,0.6853932584269663,True,8.027250123561072e-05,0.321669341894061
gradient_boost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""max_iter"": 300}",0.13107706276245604,0.24330621775757932,0.7191011235955056,True,1.037934697943283e-06,0.3473158551810237
ensemble,{},0.08494304013844765,0.2837859160150027,0.6292134831460674,True,0.0029346054830504207,0.2992331014802925
